Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Sleep_Hours,Previous_Scores,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,Physical_Activity,Parental_Education_Level,Distance_from_Home,Exam_Score
28,81,High,Medium,8,73,Yes,0,Medium,High,3,Postgraduate,Near,70
20,79,High,Medium,8,53,Yes,2,Medium,Medium,3,High School,Moderate,66
14,78,High,High,8,80,Yes,1,Medium,Medium,1,High School,Near,66
17,91,Medium,Low,7,62,Yes,3,High,Medium,3,Postgraduate,Near,68
25,81,Low,Medium,8,59,Yes,3,Low,Medium,4,College,Near,68
23,73,High,High,8,78,Yes,0,High,Medium,4,High School,Moderate,67
19,70,High,Medium,8,68,No,1,Low,Medium,3,College,Near,65
18,62,Medium,Low,8,87,Yes,4,Low,Medium,4,College,Near,64
18,83,High,Medium,5,80,Yes,1,High,High,2,College,Near,70
14,69,Low,Medium,5,91,Yes,0,High,Medium,3,College,Moderate,63
30,66,Medium,High,6,53,No,2,Low,Medium,2,High School,Near,65
18,86,Low,Medium,9,62,Yes,4,Medium,Medium,2,Postgraduate,Near,67
27,87,Medium,Medium,7,78,Yes,3,Low,Medium,5,High School,Near,71
29,90,High,Medium,7,94,Yes,1,Low,Low,4,High School,Near,73
26,80,Medium,Medium,4,91,Yes,1,Low,Medium,3,High School,Far,67
17,96,High,Medium,7,84,Yes,2,Low,High,3,College,Near,72
22,97,Medium,Medium,7,79,Yes,2,Medium,High,0,High School,Far,71
20,92,Medium,High,4,82,Yes,0,Medium,Medium,4,Postgraduate,Near,72
15,85,High,High,7,61,Yes,1,Medium,High,3,High School,Near,68
22,72,Low,Low,5,80,Yes,2,Low,High,3,College,Near,65
13,99,High,Medium,6,75,Yes,1,Medium,Medium,4,College,Far,68
27,71,Medium,Low,8,69,Yes,1,High,Medium,4,College,Near,67
17,68,Medium,Medium,7,94,Yes,1,High,Medium,4,College,Moderate,66
21,78,Medium,Low,6,91,Yes,0,Medium,Low,1,High School,Near,64
22,62,High,Medium,6,54,Yes,3,Low,Medium,3,Postgraduate,Near,65
18,99,Medium,Medium,6,99,Yes,0,Low,Medium,3,High School,Moderate,69
24,84,Medium,Medium,7,61,Yes,2,Medium,Medium,2,High School,Far,68
17,82,High,High,5,61,Yes,3,Medium,Medium,4,Postgraduate,Near,69
25,86,Medium,Medium,9,97,Yes,1,High,Medium,3,High School,Moderate,70
12,80,High,Medium,5,72,Yes,1,High,Medium,4,High School,Near,65
21,61,Medium,Medium,4,90,Yes,2,Medium,Low,3,High School,Near,63
32,84,Low,Medium,8,64,Yes,1,Low,High,3,College,Near,71
14,89,Medium,High,6,94,Yes,0,Low,Medium,2,Postgraduate,Near,68
16,77,Medium,Medium,7,92,Yes,5,Low,High,3,Postgraduate,Near,70
23,90,Medium,High,8,76,Yes,2,Medium,Low,3,High School,Near,72
21,69,Medium,Medium,6,85,Yes,3,Low,Low,1,College,Far,64
22,69,Low,Medium,7,98,Yes,0,Low,Medium,2,Postgraduate,Moderate,64
23,66,Medium,Low,8,73,Yes,2,High,Medium,2,College,Near,66
24,75,Medium,High,9,75,Yes,0,Medium,High,3,College,Far,69
27,94,Medium,Low,6,86,Yes,2,Medium,Medium,2,High School,Near,71
22,93,Medium,High,6,69,Yes,0,High,Low,3,High School,Near,69
19,75,High,Medium,8,98,Yes,1,Low,Medium,3,Postgraduate,Moderate,67
24,84,Low,Medium,7,52,Yes,0,Low,High,3,High School,Near,66
31,89,Medium,Medium,7,70,Yes,2,Low,High,2,High School,Moderate,71
19,70,Medium,Low,9,86,Yes,2,High,Medium,2,High School,Near,63
14,67,Medium,Low,4,71,Yes,0,High,Medium,4,College,Near,62
27,99,Medium,High,5,63,Yes,0,Medium,High,4,High School,Near,73
19,85,High,Medium,4,71,Yes,1,Medium,High,3,High School,Far,66
7,99,High,Medium,9,94,Yes,3,High,High,2,Postgraduate,Moderate,72
25,74,High,Low,8,77,Yes,1,Low,Medium,2,Postgraduate,Moderate,67
17,88,Low,Low,5,67,No,0,Medium,High,3,Postgraduate,Near,65
19,69,Medium,Medium,7,84,Yes,2,Medium,Medium,4,High School,Near,66
22,70,High,Medium,7,81,Yes,3,Medium,Medium,2,Postgraduate,Moderate,68
21,80,Medium,High,4,78,Yes,1,Medium,High,4,High School,Near,69
24,73,High,Medium,7,70,Yes,0,High,Medium,3,Postgraduate,Near,68
17,67,Medium,High,5,54,Yes,0,Low,Medium,2,High School,Moderate,61
23,71,High,Low,8,81,Yes,3,Medium,High,2,High School,Near,68
18,61,High,Low,5,71,Yes,3,High,High,3,College,Near,64
24,88,Medium,Low,7,71,No,1,Low,High,3,College,Moderate,67
24,80,Low,High,9,62,Yes,3,High,Low,3,High School,Moderate,68
14,64,Medium,High,8,62,Yes,1,Medium,High,4,High School,Moderate,61
27,67,High,Low,8,89,Yes,1,Low,Low,3,Postgraduate,Near,66
17,64,High,Low,7,74,Yes,2,Medium,Low,2,Postgraduate,Near,64
25,85,Low,Medium,5,55,Yes,3,High,Medium,3,High School,Moderate,67
22,64,Medium,High,6,52,Yes,2,High,Medium,4,College,Moderate,64
31,90,High,High,7,61,Yes,0,Low,Medium,3,High School,Near,72
19,61,Medium,Medium,7,74,Yes,2,High,Medium,3,Postgraduate,Far,62
18,70,High,Medium,5,81,Yes,2,Low,Medium,2,High School,Far,63
20,96,High,High,8,57,Yes,1,Low,Medium,4,High School,Near,70
18,89,High,Medium,5,72,Yes,3,Medium,Medium,3,College,Moderate,69
25,63,Low,Medium,9,54,Yes,3,Medium,Low,2,High School,Near,64
10,93,Low,Medium,7,52,Yes,2,Medium,Medium,3,Postgraduate,Near,66
14,80,Low,Medium,8,93,Yes,3,Low,High,4,High School,Near,67
14,94,High,High,8,83,Yes,4,Medium,Low,5,Postgraduate,Near,71
26,84,Medium,High,10,89,Yes,0,Low,High,1,High School,Far,70
30,87,Low,Medium,7,59,Yes,2,Medium,Medium,3,High School,Moderate,69
19,100,Medium,Low,6,66,Yes,0,Low,Medium,3,,Moderate,68
19,69,Medium,High,6,72,No,1,Low,Medium,1,College,Near,64
20,85,High,Medium,9,83,Yes,3,Medium,Medium,3,College,Near,70
27,78,High,Low,5,77,Yes,0,Medium,Low,3,Postgraduate,Near,69
14,62,Medium,Medium,6,78,Yes,0,High,,2,College,Near,63
21,61,Low,Medium,7,58,Yes,1,Medium,Low,3,High School,Near,60
26,65,High,Low,7,74,Yes,2,Low,Medium,4,High School,Near,65
23,86,Medium,Medium,8,91,Yes,0,Low,Medium,0,High School,Near,67
21,83,Medium,Low,5,75,Yes,1,Medium,Medium,4,College,Near,66
26,82,Low,High,7,60,No,3,Low,Medium,3,Postgraduate,Near,68
4,61,Low,High,7,71,Yes,0,Low,Low,1,Postgraduate,Near,58
24,79,Low,High,5,88,Yes,0,Medium,Medium,3,High School,Moderate,67
16,97,Medium,Medium,8,57,Yes,0,Medium,Medium,4,,Near,68
9,76,Medium,Medium,7,79,Yes,1,Low,Medium,3,High School,Near,62
23,85,Low,High,7,98,No,2,Low,Medium,3,Postgraduate,Moderate,69
28,91,Medium,High,6,69,Yes,1,Medium,High,4,High School,Far,73
19,91,High,Low,6,52,Yes,2,Low,Medium,4,High School,Moderate,66
26,81,Low,Medium,5,82,Yes,0,Medium,Medium,5,Postgraduate,Near,67
30,94,Medium,Medium,8,52,Yes,1,Medium,Low,4,High School,Near,71
28,76,Medium,Medium,9,60,Yes,1,Low,Medium,2,High School,Far,66
30,96,High,Medium,10,52,Yes,0,High,High,4,College,Moderate,74
24,70,Medium,High,8,59,Yes,2,Low,High,5,High School,Near,67
20,71,High,Medium,6,93,Yes,2,Medium,High,2,Postgraduate,Near,68
10,62,Medium,Medium,6,87,Yes,2,Low,High,3,High School,Near,61
19,92,Medium,High,8,67,Yes,2,Medium,Medium,2,High School,,69
15,77,Low,Medium,7,95,Yes,4,Low,Medium,4,High School,Moderate,65
33,69,Medium,High,7,83,Yes,2,Medium,Low,2,Postgraduate,Near,71
19,69,Medium,Low,7,72,Yes,1,Low,Low,2,High School,Far,61
21,96,Medium,High,9,53,Yes,0,Low,High,3,College,Near,70
23,93,Medium,Low,6,87,Yes,2,Medium,Medium,3,High School,Moderate,70
20,82,Medium,High,9,69,Yes,1,Medium,Medium,3,College,Near,69
30,85,High,Low,7,65,Yes,2,Low,Medium,3,High School,Near,70
16,79,High,Medium,6,64,Yes,4,Low,Low,4,College,Near,67
21,76,Low,Medium,6,50,Yes,2,Low,Medium,4,Postgraduate,Moderate,63
16,97,Medium,Medium,7,87,Yes,1,High,Medium,3,High School,Near,70
12,65,Medium,Medium,8,57,Yes,1,High,High,5,High School,Near,61
16,77,Low,High,6,76,Yes,1,Low,Medium,1,Postgraduate,Moderate,64
20,74,Medium,Medium,8,51,Yes,2,Medium,Medium,3,College,Near,65
17,80,Medium,Medium,6,81,Yes,1,Medium,High,1,College,Far,65
16,78,Medium,Low,7,68,Yes,3,Low,High,3,Postgraduate,Far,66
12,81,High,High,5,82,Yes,1,Medium,High,3,High School,Far,66
20,66,Low,Medium,8,54,Yes,2,Medium,Low,2,Postgraduate,Near,63
11,81,Low,High,7,63,Yes,3,Medium,Medium,2,Postgraduate,Near,66
25,70,Medium,Medium,9,56,Yes,0,Low,Medium,1,High School,Far,64
20,67,High,Low,8,82,Yes,3,Low,High,4,High School,Near,65
11,63,High,Medium,7,55,Yes,3,High,Medium,1,Postgraduate,Near,62
18,91,Low,High,9,81,Yes,4,High,Medium,5,High School,Moderate,71
15,77,Medium,Medium,8,57,Yes,1,Low,Medium,2,College,Near,63
22,85,Medium,High,9,97,Yes,0,Medium,High,3,College,Moderate,70
28,89,Medium,Low,6,71,Yes,2,Low,Medium,4,College,Moderate,70
9,87,Medium,Medium,8,56,Yes,1,Medium,High,3,College,Moderate,65
21,79,High,High,8,52,Yes,1,Low,,3,High School,Near,66
19,76,Medium,Low,5,66,Yes,2,Medium,Medium,4,College,Near,66
24,75,Medium,Low,9,95,Yes,0,Medium,High,2,College,Near,68
21,86,High,High,5,57,Yes,1,Low,Medium,3,High School,Near,68
15,80,High,Medium,5,90,Yes,4,Medium,High,3,High School,Near,69
18,94,Medium,Medium,4,71,Yes,3,High,Low,3,College,Near,71
15,95,Medium,Medium,8,90,Yes,2,Low,,1,Postgraduate,Near,69
26,67,Medium,High,5,94,Yes,0,Medium,Medium,2,College,Near,68
20,65,Medium,High,6,100,Yes,2,Low,High,5,High School,Moderate,67
31,85,High,Medium,8,53,Yes,2,Low,High,3,High School,Near,72
20,72,High,Medium,7,90,Yes,2,Medium,Medium,3,High School,Near,68
16,61,High,Medium,6,53,Yes,0,High,Medium,4,High School,Moderate,60
11,96,Medium,High,5,66,Yes,2,Low,Medium,4,High School,Moderate,68
9,69,High,Medium,7,82,Yes,1,High,High,2,High School,Near,65
10,97,Low,High,8,72,Yes,0,Low,Medium,3,Postgraduate,Moderate,67
22,89,Low,Medium,8,78,Yes,4,High,Medium,3,High School,Near,70
23,91,Medium,Low,10,98,Yes,0,Low,High,3,High School,Near,70
11,68,Medium,Medium,6,91,Yes,3,Low,High,2,College,Far,61
25,69,High,Low,5,68,Yes,2,High,High,4,College,Far,68
17,81,Medium,High,7,80,Yes,1,Low,Medium,3,Postgraduate,Near,67
21,67,Medium,High,7,52,Yes,3,Low,Medium,3,High School,Moderate,62
30,72,Medium,Low,7,73,Yes,0,High,Medium,4,High School,Moderate,66
25,73,High,Medium,6,80,Yes,3,High,Medium,2,High School,Far,69
18,66,Medium,High,4,86,Yes,2,Medium,Medium,4,College,Near,66
15,68,Medium,Medium,5,95,Yes,0,High,Medium,5,College,Near,64
7,92,High,Medium,8,64,Yes,1,Low,Low,4,Postgraduate,Near,66
16,67,Medium,Medium,7,95,Yes,2,Medium,Medium,5,High School,Near,63
19,61,Low,High,8,83,Yes,1,Medium,Medium,3,High School,Near,62
14,85,Medium,Medium,8,54,Yes,1,High,Medium,4,Postgraduate,Moderate,65
19,99,Low,High,8,69,Yes,0,High,Medium,2,High School,Moderate,68
20,73,High,High,8,74,Yes,1,Low,Low,4,High School,Moderate,65
19,65,Medium,High,7,68,Yes,1,Low,Low,4,College,Near,63
16,83,High,High,7,56,Yes,3,Medium,Medium,2,High School,Near,68
21,96,Medium,High,4,78,Yes,2,High,Medium,2,High School,Near,72
23,91,High,Low,6,57,Yes,2,Low,Medium,3,High School,Near,69
13,85,Low,Medium,6,96,Yes,1,Low,High,5,Postgraduate,Far,66
28,73,Low,Low,7,93,Yes,2,Low,High,3,College,Near,68
19,82,Low,Low,6,74,Yes,1,Medium,High,2,High School,Moderate,64
20,64,Medium,Low,8,53,Yes,1,Low,Medium,2,High School,Near,61
24,87,Low,Medium,6,78,Yes,0,Low,Low,2,Postgraduate,Near,67
21,89,Medium,Low,9,80,Yes,0,Medium,Low,3,Postgraduate,Moderate,68
26,99,Medium,Medium,6,94,Yes,2,Medium,Medium,3,High School,Near,74
22,70,Medium,High,6,53,Yes,3,Medium,High,2,High School,Near,67
16,61,Medium,High,6,85,Yes,2,Medium,Medium,3,High School,Near,64
22,82,Low,High,6,78,Yes,3,Medium,High,3,High School,Moderate,69
13,88,High,Medium,9,59,Yes,0,Low,Medium,3,High School,Far,63
21,92,Medium,Medium,7,56,Yes,0,Low,Medium,4,High School,Moderate,67
20,68,High,Medium,7,85,Yes,1,Medium,Medium,3,College,Far,65
19,70,Medium,Medium,6,67,Yes,5,Medium,Low,4,Postgraduate,Moderate,67
19,81,High,Medium,7,100,Yes,1,Low,Medium,5,Postgraduate,Moderate,68
9,73,Medium,Low,7,95,No,3,Low,Medium,3,Postgraduate,Near,62
17,94,High,Medium,7,78,Yes,1,Low,High,3,College,Near,70
21,79,Low,High,7,82,Yes,1,High,Medium,3,High School,Near,67
21,92,High,High,9,58,Yes,2,High,Medium,5,High School,Moderate,89
14,83,High,Medium,7,95,Yes,1,Low,Medium,2,High School,Near,65
28,91,Low,Medium,5,73,No,2,Medium,Medium,2,High School,Near,69
15,73,Medium,Medium,7,76,Yes,2,Low,Medium,4,High School,Far,64
26,93,High,Low,6,94,Yes,6,High,Medium,4,High School,Near,74
23,71,Medium,High,8,50,Yes,0,High,Medium,2,High School,Far,64
16,82,Low,High,7,75,Yes,0,Low,Medium,2,Postgraduate,Moderate,64
31,69,Medium,Low,9,81,Yes,2,Medium,Medium,2,College,Near,67
13,79,Low,Low,6,58,Yes,2,Medium,Medium,4,College,Moderate,63
26,73,High,Medium,7,53,Yes,3,Medium,High,5,High School,Moderate,68
26,71,Low,Medium,5,77,Yes,0,Medium,Medium,5,Postgraduate,Near,66
16,99,Low,High,7,77,Yes,0,Low,Medium,3,High School,Moderate,68
28,66,Medium,High,5,67,Yes,1,High,Medium,1,Postgraduate,Moderate,68
18,91,Medium,Medium,7,94,Yes,3,Low,Medium,2,High School,Near,69
22,99,High,Low,7,65,Yes,3,Low,Low,3,Postgraduate,Near,71
22,61,Low,High,7,76,Yes,1,High,Medium,3,College,Near,65
19,88,Low,Medium,8,59,Yes,2,Medium,Medium,4,High School,Near,67
25,70,Medium,Medium,7,51,Yes,1,High,Medium,4,College,Near,65
25,62,High,Medium,5,71,Yes,0,Low,High,4,High School,Moderate,65
10,76,Medium,Low,6,76,Yes,1,High,High,2,Postgraduate,Near,80
28,97,Medium,Medium,7,88,Yes,2,Medium,Medium,2,High School,Moderate,74
10,60,Medium,Medium,7,72,No,3,Medium,Low,3,High School,Near,59
26,84,Medium,Medium,7,64,Yes,2,High,High,3,High School,Near,69
27,80,Medium,Low,9,80,Yes,0,High,Medium,2,High School,Moderate,66
13,95,Medium,Medium,7,69,Yes,1,Low,Low,2,Postgraduate,Moderate,66
18,63,High,High,8,62,Yes,2,High,Medium,4,High School,Near,65
13,87,High,Medium,4,96,Yes,3,Low,Low,3,College,Near,67
19,87,High,High,8,77,Yes,3,Low,Medium,4,High School,Moderate,69
18,87,Medium,Low,10,60,Yes,2,Medium,Medium,3,High School,Near,68
25,98,Medium,Medium,9,84,Yes,1,Medium,High,2,Postgraduate,Near,73
28,93,Low,High,6,90,Yes,1,Low,Medium,2,High School,Near,71
28,62,High,Medium,10,88,Yes,0,Low,High,2,Postgraduate,Moderate,67
17,79,Medium,Medium,7,80,Yes,1,High,High,3,College,Near,67
19,76,High,Low,7,76,Yes,0,High,High,2,Postgraduate,Near,66
10,72,Medium,Low,7,89,Yes,3,Medium,Medium,4,College,Near,63
15,78,High,High,7,85,No,1,High,Medium,1,High School,Far,65
26,75,Medium,Low,4,79,Yes,2,High,Medium,1,College,Near,67
30,77,Medium,Low,8,83,Yes,1,Low,Low,3,College,Near,69
13,99,Medium,Medium,7,58,Yes,1,Low,Medium,2,High School,Near,67
16,64,High,Medium,7,51,Yes,4,High,High,3,College,Near,66
20,97,High,High,7,97,Yes,2,Medium,High,4,High School,Moderate,74
22,79,High,Medium,6,97,No,2,High,,2,College,Moderate,69
15,85,Low,Medium,7,89,Yes,0,Medium,Medium,4,College,Moderate,66
23,93,High,Low,9,69,Yes,0,Medium,Medium,3,Postgraduate,Moderate,69
17,74,Medium,Medium,8,58,Yes,1,High,Medium,2,College,Far,63
20,77,Medium,Low,7,68,No,0,Medium,High,3,College,Near,65
23,76,Low,Medium,7,86,No,1,Low,Medium,4,College,Far,64
20,75,Low,Medium,7,67,Yes,0,Medium,Medium,4,High School,Near,64
17,97,Low,High,6,90,Yes,2,Medium,Low,2,High School,Moderate,69
19,93,High,High,7,84,Yes,5,Low,High,3,High School,Near,73
19,64,Medium,Medium,8,81,Yes,1,Medium,Medium,3,High School,Moderate,62
18,64,Low,Low,7,97,Yes,2,Medium,Low,4,College,Near,62
18,77,Medium,Medium,6,95,Yes,0,Medium,High,2,Postgraduate,Moderate,68
30,64,Medium,Medium,7,86,Yes,1,Medium,Medium,3,Postgraduate,Far,66
23,85,Low,High,8,60,Yes,2,Medium,Medium,1,College,Moderate,68
18,66,Low,High,5,97,Yes,4,Medium,Medium,4,High School,Moderate,66
24,81,Low,Medium,6,61,Yes,3,Medium,Medium,3,Postgraduate,Near,69
18,60,Medium,Medium,5,69,Yes,0,Medium,Medium,2,Postgraduate,Near,62
27,73,Low,Medium,7,91,Yes,2,High,Medium,4,College,Far,68
22,87,Medium,Medium,8,60,Yes,2,Medium,High,2,College,Moderate,67
19,79,Low,Medium,9,82,Yes,1,Low,Medium,4,High School,Near,65
23,99,Low,Medium,9,73,Yes,0,Low,Medium,4,College,Near,69
11,95,Medium,Medium,6,81,Yes,2,Low,Low,3,High School,Near,67
13,74,Low,Low,7,98,Yes,0,Medium,Medium,3,Postgraduate,Near,64
13,62,Low,Medium,6,90,No,3,High,High,3,Postgraduate,Near,62
21,94,Medium,Medium,9,65,Yes,5,High,High,3,High School,Near,71
30,96,Medium,High,9,53,No,0,Medium,Medium,3,High School,Near,72
33,93,High,High,7,98,Yes,0,Medium,Medium,2,High School,Near,74
24,65,Low,High,6,79,Yes,1,Medium,High,2,Postgraduate,Near,66
23,100,High,Low,4,59,Yes,2,Medium,Medium,4,High School,Near,72
9,70,High,Medium,5,81,Yes,1,High,High,4,Postgraduate,Near,65
17,89,High,Medium,4,52,Yes,0,Low,Medium,3,College,Far,67
15,96,Medium,High,5,59,Yes,2,Medium,High,2,High School,Near,70
16,69,High,Medium,10,82,Yes,0,Low,High,1,High School,Moderate,62
19,96,Low,Low,5,70,Yes,0,Low,Medium,2,High School,Far,66
17,72,Low,Medium,5,66,Yes,2,High,High,3,College,Near,65
8,99,Low,High,6,83,Yes,2,Medium,High,4,Postgraduate,Near,70
24,71,High,High,10,93,Yes,2,Medium,Medium,2,College,Near,69
14,98,Medium,Medium,7,84,Yes,3,High,Medium,3,High School,Near,70
21,62,High,High,8,73,Yes,2,High,Medium,2,College,Near,66
32,88,Medium,Low,7,83,Yes,1,Low,High,4,Postgraduate,Near,73
14,81,High,Medium,4,85,Yes,3,Medium,High,4,Postgraduate,Moderate,69
5,79,High,High,9,89,Yes,3,Medium,Medium,3,College,Near,66
18,69,High,Medium,8,65,Yes,4,Medium,Medium,4,High School,Far,65
27,88,Medium,Low,7,56,Yes,2,Low,Medium,4,Postgraduate,Near,70
32,68,High,High,10,84,Yes,0,Medium,High,2,Postgraduate,Far,70
13,82,High,Medium,6,56,Yes,2,Low,High,4,Postgraduate,Near,67
23,70,Medium,High,7,73,Yes,1,Low,Medium,3,Postgraduate,Near,68
17,98,Medium,Low,6,62,Yes,1,Medium,Medium,2,College,Near,68
19,61,High,Medium,9,67,Yes,0,Low,Medium,2,College,Far,61
36,68,Medium,Medium,8,74,Yes,2,Medium,Medium,3,High School,Near,70
11,70,High,High,7,95,Yes,0,Low,High,5,College,Moderate,65
22,77,Low,Medium,5,84,No,3,High,Medium,2,High School,Moderate,66
23,69,Medium,Medium,6,59,Yes,3,High,Medium,3,Postgraduate,Moderate,67
27,80,Low,Low,5,94,Yes,3,High,Medium,3,High School,Near,69
21,95,Medium,High,9,75,Yes,1,Low,Medium,2,College,Far,69
22,88,Medium,Medium,5,60,Yes,1,Low,Medium,2,High School,Moderate,67
18,83,High,Low,9,76,Yes,0,Medium,Low,4,High School,Near,66
22,64,Low,Medium,9,60,Yes,1,High,High,2,High School,Near,63
18,88,High,Medium,6,68,Yes,0,Medium,High,4,High School,Far,67
24,67,High,Low,6,90,Yes,0,Low,Medium,1,College,Far,64
18,91,Medium,Low,6,83,Yes,2,Low,Medium,4,High School,Near,68
22,70,Medium,High,8,74,Yes,2,Low,High,2,,Moderate,65
20,77,Medium,Low,9,61,Yes,2,Medium,Medium,3,High School,Near,65
27,74,Medium,Low,9,64,No,1,Low,Medium,3,High School,Near,65
20,94,Low,Medium,6,99,Yes,0,Medium,Medium,4,College,Near,70
9,65,Medium,High,9,67,Yes,1,High,Medium,3,High School,Near,62
28,83,High,Low,9,81,Yes,0,Low,Medium,4,High School,Moderate,68
15,66,Low,High,7,75,Yes,0,High,High,3,College,Near,62
16,88,Medium,High,7,51,Yes,0,Medium,Medium,3,College,Near,68
16,96,High,Medium,9,97,Yes,0,Medium,High,5,College,Near,72
28,77,High,Medium,9,54,Yes,1,High,Medium,3,Postgraduate,Near,70
7,80,High,Medium,9,83,No,3,Medium,Medium,3,High School,Far,62
39,97,High,High,10,91,Yes,2,Low,Medium,3,High School,Moderate,79
26,81,Medium,High,8,87,Yes,2,High,High,1,Postgraduate,Near,73
21,80,High,High,7,90,Yes,1,Low,Low,2,College,Far,68
20,83,High,Medium,9,87,Yes,0,High,Medium,2,High School,Near,68
22,88,Medium,Medium,10,72,Yes,2,Low,High,2,High School,Moderate,69
23,64,Medium,Low,6,95,Yes,1,Low,Medium,2,College,Far,63
24,93,Medium,Medium,7,96,No,5,High,Medium,4,Postgraduate,Near,74
23,77,Medium,Medium,5,72,Yes,2,High,High,5,College,Moderate,69
21,63,Medium,Low,8,74,Yes,0,Low,Medium,3,High School,Near,61
19,91,Medium,Low,8,74,Yes,4,Medium,Medium,2,Postgraduate,Near,69
19,75,Medium,Low,6,64,Yes,2,Low,Medium,3,High School,Near,64
19,64,Medium,Medium,9,56,Yes,2,Low,Medium,4,Postgraduate,Far,63
27,85,Low,High,6,63,Yes,1,Low,Medium,2,College,Near,68
24,95,High,Medium,6,92,Yes,2,Low,Medium,3,High School,Far,72
2,96,Low,High,9,77,Yes,3,Medium,,2,High School,Far,65
24,98,Low,Low,6,93,No,2,Low,Low,4,College,Near,69
21,95,Medium,Low,5,87,Yes,2,Medium,Medium,4,High School,Near,70
20,60,Medium,Medium,8,67,Yes,1,Medium,Medium,4,Postgraduate,Moderate,63
18,75,Low,Medium,7,59,Yes,0,Medium,Medium,2,High School,Near,62
27,93,Medium,Medium,9,78,Yes,1,Low,Medium,2,Postgraduate,Near,72
26,75,High,High,8,97,Yes,1,Low,Medium,4,High School,Far,69
15,84,Medium,Medium,4,92,Yes,2,Medium,Medium,3,High School,Moderate,66
22,84,Medium,Medium,9,88,Yes,2,Low,High,4,Postgraduate,Near,71
14,75,Low,Low,10,88,Yes,2,Low,Medium,3,College,Moderate,62
12,96,Medium,Low,9,76,Yes,2,Medium,High,2,High School,Near,68
16,80,High,Low,9,58,Yes,0,Medium,Medium,2,High School,Near,63
25,79,Medium,Medium,7,64,Yes,0,Low,Medium,3,College,Far,66
26,100,High,Medium,6,79,Yes,1,Medium,High,3,College,Moderate,75
23,80,Medium,Low,7,66,Yes,1,High,High,4,College,Near,69
24,67,High,Medium,8,89,Yes,2,High,Low,3,High School,Near,68
23,81,High,Medium,8,69,Yes,5,Medium,Medium,2,High School,Moderate,69
16,93,High,Low,6,56,Yes,2,Low,Medium,4,High School,Near,67
23,91,High,Medium,6,89,Yes,3,Medium,Medium,3,Postgraduate,Near,73
25,92,Medium,High,5,85,Yes,1,Low,Medium,1,College,Near,71
25,88,High,Medium,8,63,Yes,2,High,Medium,3,High School,Moderate,71
27,70,Medium,Medium,6,99,Yes,2,Low,Medium,2,High School,Near,68
24,94,High,Low,7,70,Yes,1,High,Medium,1,High School,Near,70
22,96,Low,High,10,84,Yes,1,High,High,3,High School,Near,71
26,68,Medium,High,8,96,Yes,1,Medium,High,2,High School,Near,69
20,65,High,Medium,7,58,No,3,Low,Medium,4,High School,Near,63
15,99,Low,Medium,8,94,Yes,2,Medium,Medium,3,Postgraduate,Near,71
19,95,Medium,Medium,9,85,No,2,Low,Medium,3,College,Near,69
16,96,High,Medium,5,58,Yes,2,High,Low,5,Postgraduate,Moderate,71
16,95,Medium,Low,6,83,Yes,2,Low,High,3,High School,Near,68
19,82,Medium,Medium,7,94,Yes,1,Medium,Medium,3,High School,Near,68
15,86,Medium,Low,6,90,Yes,0,Medium,High,3,Postgraduate,Far,66
18,82,Medium,Medium,7,88,Yes,3,Low,Medium,3,College,Moderate,67
9,62,Low,High,5,58,Yes,0,Medium,High,5,College,Moderate,59
21,90,Low,Medium,8,60,Yes,1,Low,Medium,2,College,Near,66
20,80,Low,Low,6,77,Yes,0,Medium,High,3,High School,Near,64
15,86,Medium,Medium,7,79,Yes,1,Low,Medium,3,High School,Moderate,64
24,80,Medium,High,7,97,Yes,0,Low,High,4,High School,Moderate,69
26,80,High,Low,8,73,Yes,1,Medium,Medium,3,High School,Near,69
10,67,Medium,Medium,4,65,No,3,Medium,Medium,3,High School,Near,61
15,71,High,High,8,60,Yes,0,Low,High,3,High School,Far,62
15,66,Low,Medium,7,53,Yes,2,Medium,High,3,College,Near,61
14,68,Medium,Medium,8,53,Yes,1,Medium,High,2,College,Near,63
25,99,Medium,Low,5,79,Yes,2,Low,Medium,4,College,Near,71
19,66,High,High,8,59,Yes,1,Medium,Low,2,Postgraduate,Moderate,65
18,71,High,High,9,93,Yes,1,Low,High,4,College,Moderate,68
8,84,High,High,7,80,Yes,1,High,High,4,High School,Moderate,67
24,84,Low,High,6,93,Yes,2,Low,Medium,1,High School,Near,70
13,66,High,Medium,6,71,Yes,3,Medium,Medium,3,High School,Near,64
20,92,Medium,High,8,80,Yes,0,Medium,Medium,3,College,Near,71
22,91,High,Medium,8,76,Yes,2,Medium,Medium,3,College,Moderate,71
28,69,Medium,High,8,99,Yes,0,High,Medium,3,High School,Moderate,67
12,72,Medium,Low,7,90,Yes,0,High,Medium,3,Postgraduate,Far,63
2,98,Low,High,7,80,Yes,2,Low,High,1,High School,Near,66
21,93,Medium,Low,7,80,Yes,3,High,Medium,1,High School,Moderate,70
31,88,Medium,Low,6,62,Yes,2,Low,Medium,4,High School,Near,70
27,63,Low,Medium,8,87,Yes,3,Low,High,3,High School,Near,67
21,77,Low,Medium,7,99,Yes,3,Medium,High,3,Postgraduate,Near,69
17,82,High,Low,9,56,Yes,3,High,Medium,2,High School,Near,66
25,67,Medium,High,9,82,Yes,1,Medium,Medium,3,Postgraduate,Far,67
